item ID,titles,description,product_type,brand,dietary_considerations,flavor_profile,cost_tier,key_features,categories
7,"Plocky's Hummus Chips, Original, 1-Ounce (Pack of 24)","A pack of 24 individual 1-ounce bags of crunchy chips made from hummus, offering a healthier alternative to traditional snack chips.",hummus chips,Plocky's,"['Gluten-Free', 'Vegan']",savory,Medium-Cost,"['single-serving', 'ready-to-eat', 'shelf-stable']","Snacks, Health Foods, Health-Conscious Options"
9,"Stash Tea Fusion Red, White &amp; Blueberry Tea, 18 Count Tea Bags in Foil (Pack of 6)","A pack of 6 boxes containing 18 foil-wrapped tea bags of a fruity red, white, and blueberry blend, ideal for a refreshing beverage.",fruit tea,Stash Tea,['Caffeine-Free'],fruity,Medium-Cost,"['foil-wrapped', 'ready-to-brew']","Beverages, Coffee/Tea"
22,"Rold Gold Classic Stick Pretzels, 16 Ounce Bag","A 16-ounce bag of crunchy, classic stick pretzels perfect for snacking or pairing with dips.",stick pretzel,Rold Gold,['Low-Fat'],savory,Low-Cost,"['ready-to-eat', 'shelf-stable']",Snacks
57,"Twizzlers Pull 'n' Peel Candy, Cherry, 14-Ounce Bags (Pack of 6)","This product consists of six 14-ounce bags of cherry-flavored, pull-apart gummy candy that can be enjoyed as a fun and chewy treat.",pull-apart gummy candy,Twizzlers,['None'],sweet,Low-Cost,"['pull-apart', 'shelf-stable', 'ready-to-eat']","Snacks, Sweets and Desserts"
61,"Stretch Island Fruit Leather Variety Pack 48-Count, 0.5-Ounce Package","This variety pack contains 48 individual 0.5-ounce pieces of fruit leather made from real fruit, offering a convenient and chewy snack option.",fruit leather,Stretch Island,"['Non-GMO', 'Vegan', 'Gluten-Free']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'single-serving']","Snacks, Health Foods, Fruits and Vegetables, Health-Conscious Options"
72,"Trident Splash Sugar Free Gum, Strawberry - Lime, 9-Count (Pack of 10)","This product is a pack of sugar-free chewing gum featuring a refreshing strawberry-lime flavor, available in a convenient 9-count format, with a total of 10 packs.",chewing gum,Trident,['Sugar-Free'],sweet,Medium-Cost,"['shelf-stable', 'convenient packaging', 'sugar-free']","Snacks, Health-Conscious Options"
76,"Wilton Edible Glitter, Pink Hearts","This product is a decorative edible glitter in the shape of pink hearts, ideal for enhancing cakes, cupcakes, and other baked goods.",edible glitter,Wilton,['none'],none,Medium-Cost,"['ready-to-use', 'shelf-stable']",Sweets and Desserts
83,"Snappy Popcorn 1 Gallon Snappy Pure Peanut Oil No Color Added, 128 Fl Oz","A 128 fl oz container of pure peanut oil, perfect for cooking and frying, with no added colors, ideal for achieving crispy popcorn and other delicious fried dishes.",cooking oil,Snappy,['No Color Added'],nutty,Medium-Cost,"['requires cooking', 'shelf-stable']",Cooking Ingredients
129,house of herbs blackstrap molasses 16 oz Glass Jar,"A thick, dark syrup derived from sugar cane or sugar beet processing, this product is rich in nutrients and often used as a natural sweetener or flavor enhancer in various recipes.",blackstrap molasses,House of Herbs,"['Vegan', 'Non-GMO']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Sweeteners"
164,"Krusteaz Lemon Bars Supreme Mix, 19.35-Ounce Boxes (Pack of 12)","A convenient baking mix for preparing delicious lemon bars, packaged in twelve 19.35-ounce boxes.",lemon bar baking mix,Krusteaz,[],sweet and tart,Medium-Cost,"['ready-to-use', 'shelf-stable']","Cooking Ingredients, Sweets and Desserts"
189,"Armour Potted Meat Made with Chicken and Pork, 5.5-Ounce Cans (Pack of 24)","A pack of 24 cans containing a blend of chicken and pork in a preserved, spiced format suitable for quick meals or snacks.",canned meat product,Armour,['None'],savory,Low-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Canned and Packaged Foods, Prepared and Ready-Made Meals"
221,"Yankee Traders Classic Candy, Atomic Fireballs, 2 Pound",A bulk pack of spicy cinnamon-flavored hard candies that deliver a fiery taste experience.,hard candy,Yankee Traders,['None'],spicy,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Snacks, Sweets and Desserts"
275,"Giorgio Mushrooms, Pieces N Stems, 4-Ounce (Pack of 24)","A pack of 24 cans containing pieces and stems of mushrooms, ideal for adding flavor and texture to various dishes.",canned mushrooms,Giorgio,"['Vegetarian', 'Vegan']",umami,Low-Cost,"['shelf-stable', 'ready-to-eat']","Cooking Ingredients, Canned and Packaged Foods"
