item ID,titles,description,product_type,brand,design_focus,target_user,cost_tier,key_features,categories
62,Tommy Hilfiger Men's Tommy Star Print Boxer,"Men's boxers featuring a star print design from a well-known brand, offering comfort and style for everyday wear.",boxer shorts,Tommy Hilfiger,Comfort,Men's,Medium-Cost,"['star print design', 'comfortable fit', 'everyday wear']",Lingerie and Underwear
123,Moving Comfort Women's Luna Bra,"This bra is designed for women, offering support and comfort with a focus on active lifestyles, featuring moisture-wicking fabric and a stylish, supportive design.",bra,Moving Comfort,Comfort,Women's,Medium-Cost,"['moisture-wicking fabric', 'supportive design', 'stylish appearance', 'designed for active lifestyles']","Lingerie and Underwear, Activewear and Sportswear"
174,Patty Women's Cotton Asymmetrical Neck Long Sleeve Stretch Solid Blouse,"This blouse features a unique asymmetrical neckline, long sleeves, and is made of stretchable cotton fabric, offering both comfort and style for casual or semi-formal occasions.",blouse,none,Fashion-forward,Women's,Medium-Cost,"['asymmetrical neckline', 'long sleeves', 'stretchable cotton fabric', 'suitable for casual or semi-formal occasions']",Clothing
234,"GT-Dress Women Fashion Loose plus size strap twinset t shirt blouse top, Women cotton T-shirts Suits","This is a fashionable, loose-fitting twinset for women, featuring a strap design and made from cotton, suitable for casual wear as a top and T-shirt combination in plus sizes.",twinset top,none,"Fashion-forward, Comfort",Women's,Medium-Cost,"['cotton fabric', 'loose-fitting', 'strap design', 'plus size', 'casual wear']",Clothing
249,MA by Michael Antonio Women's Tipton-GLT Platform Sandal,"This is a stylish platform sandal designed for women, featuring a modern design by Michael Antonio that combines comfort and height.",platform sandal,Michael Antonio,Fashion-forward,Women's,Medium-Cost,"['platform design', 'comfortable fit']",Footwear
279,"aryn K Women's Print Halter Maxi Dress, Multi, X-Small","A lightweight, multi-colored halter maxi dress designed for women, featuring a flowing silhouette suitable for casual wear.",maxi dress,aryn K,Comfort,Women's,Medium-Cost,"['lightweight fabric', 'multi-colored print', 'halter neck design', 'flowing silhouette', 'suitable for casual wear']",Clothing
395,Columbia Girls 7-16 Y Baddabing Hat,"This is a warm and stylish hat designed for girls aged 7 to 16, ideal for cold weather activities.",hat,Columbia,Functional,Kids,Medium-Cost,"['insulated', 'warm', 'cold weather suitable']","Accessories, Children's Items"
468,Converse Unisex Chuck Taylor All Star Hi Top Black Monochrome Sneaker,"A classic high-top sneaker featuring a sleek black monochrome design, suitable for unisex wear and ideal for casual and street fashion.",high-top sneaker,Converse,Fashion-forward,Unisex,Medium-Cost,"['high-top design for ankle support', 'monochrome colorway for versatility', 'classic Chuck Taylor branding', 'durable canvas upper', 'rubber sole for traction and comfort']",Footwear
693,Champion Women's 3 Pack High Performance Low Cut Heel Shield Socks,"A set of three low-cut athletic socks designed for women, featuring heel shield technology for enhanced comfort and performance during sports activities.",athletic socks,Champion,Functional,Women's,Medium-Cost,['heel shield technology'],Activewear and Sportswear
694,Retro Chic - Swing Dress,"This dress features a vintage-inspired swing silhouette, perfect for evening outings and special occasions, available in various sizes for women and juniors.",swing dress,none,Fashion-forward,"Women's, Juniors",Medium-Cost,"['vintage-inspired design', 'swing silhouette', 'available in various sizes', 'suitable for evening outings', 'ideal for special occasions']",Clothing
782,"(KDNG177CC) Kidtopia Girls 0/3M-24M Sweatpants in Grey, 3/6M","These grey sweatpants are designed for baby girls aged 3 to 6 months, offering comfort and warmth for everyday wear.",sweatpants,Kidtopia,Comfort,Kids,Medium-Cost,"['soft fabric', 'elastic waistband', 'warmth', 'comfortable fit']",Baby and Kids Clothing
796,Roxy Women's Sun dial Flip Flop,"These women's flip flops from Roxy feature a stylish design suitable for casual wear, perfect for beach outings or everyday summer activities.",flip flop,Roxy,Fashion-forward,Women's,Medium-Cost,"['stylish design', 'comfortable fit', 'lightweight', 'durable materials', 'suitable for beach and casual wear']",Footwear
875,Genie Bra Women's Big Twin Pack,"This product is a pack of two comfortable and supportive bras designed for everyday wear, ideal for women seeking ease and versatility in their lingerie collection.",bra,none,Comfort,Women's,Medium-Cost,"['comfortable fit', 'supportive design', 'versatile for everyday wear', 'pack of two for convenience']",Lingerie and Underwear
881,California Costumes Foxy Lady Set,"This set includes a sexy fox-themed costume for women, featuring a fitted dress and accessories, perfect for parties or themed events.",themed costume set,California Costumes,Fashion-forward,Women's,Medium-Cost,"['fitted dress design', 'fox-themed accessories', 'suitable for themed events', 'comfortable fit for wear during parties', 'eye-catching design']","Accessories, Costumes and Themed Apparel"
905,Monster Tattoos,"Temporary tattoos featuring various monster designs, perfect for kids' costumes or playful dress-up occasions.",temporary tattoos,none,Playful,Kids,Low-Cost,"['temporary application', 'various monster designs', 'easy to apply and remove', 'safe for skin', 'ideal for costumes']","Costumes and Themed Apparel, Seasonal and Thematic Products, Children's Items"
